Sample	posterior	likelihood	prior	lambda	treeHeightLogger	clockRate
0	-20941.51186972702	-3701.60010363236	-17239.911766094658	2.0	2.0E-10	0.01
50	-19418.236588849883	-3469.8547310002805	-15948.381857849601	2.09139848072083	5.02823420753876E-10	0.014694994833977815
100	-18270.649569212797	-3456.888397648781	-14813.761171564018	3.1909440622085015	1.1656631402858647E-9	0.017196359541260003
150	-17313.52057174382	-3457.9350670550434	-13855.585504688774	5.337392987696403	2.432237367091874E-9	0.024374113309516405
200	-15126.018362170329	-3456.7797719992177	-11669.238590171111	6.373044398572368	1.4423437027386294E-8	0.02078533934722291
250	-13212.041618466046	-3456.7169267522804	-9755.324691713766	25.736941558722247	7.896724679853306E-8	0.029632534793185835
300	-12247.61555366123	-3457.0388719295365	-8790.576681731693	19.4325954965981	1.9831693011399475E-7	0.019775856983952806
350	-11213.91135211461	-3456.975650699984	-7756.935701414627	22.858104508649095	5.638587822763457E-7	0.02890730007027272
400	-9983.330133813624	-3457.078607414313	-6526.251526399311	28.04315374961478	2.151143202484803E-6	0.02461693737211778
450	-8466.572990672634	-3457.0423622659164	-5009.5306284067165	52.22695702140857	1.3523953650810453E-5	0.03590549525752465
500	-7310.275778212395	-3456.7509968290024	-3853.524781383393	78.18382713501641	6.692044231407469E-5	0.07616604007037632
550	-6286.36943048166	-3456.3182520758437	-2830.0511784058162	43.58234729630205	3.4231698446737313E-4	0.09734328752714096
600	-5534.420945147581	-3454.4148639252326	-2080.0060812223483	34.78148659855508	0.0013805741300257045	0.09082253689815312
650	-4600.685362789595	-3423.8514922968393	-1176.833870492756	132.95598383104542	0.011048563454003889	0.09857029887134347
700	-3976.242526854102	-3281.439611340853	-694.802915513249	110.71284688159544	0.048750184145151684	0.07106625764788375
750	-2977.1326454895434	-2691.628740843244	-285.50390464629913	35.262988455634606	0.3062477125514074	0.12001804379930814
800	-2589.1720413117873	-2404.1333648785103	-185.03867643327706	35.262988455634606	0.8235239594425485	0.0574107045121021
850	-2519.2585467307763	-2390.4633220204973	-128.7952247102789	19.713890369852525	1.18783413906557	0.03488162920840244
900	-2461.493128105161	-2387.315346161274	-74.1777819438865	9.518882303232198	1.940394766657735	0.037499212519474794
950	-2442.0194067501343	-2387.499256917471	-54.520149832663485	6.572457274018336	2.4090950061183154	0.030767585669883447
1000	-2433.3470236529784	-2388.6025441553475	-44.744479497631076	5.567382590402788	3.2793271957642607	0.026701238436347252
1050	-2411.2629893613703	-2388.0989606540998	-23.164028707270326	2.623581919839206	3.714470983923066	0.017788640726171413
1100	-2397.4506417734287	-2387.52572624476	-9.924915528668922	1.1941482316118102	4.656880645899466	0.01449620385944665
1150	-2400.43933038599	-2387.825207926538	-12.614122459451963	1.5048223685462707	4.615810164212055	0.013949741406434218
1200	-2398.910839006982	-2388.2042231794267	-10.70661582755499	1.1469264842510234	6.117546796610236	0.01540008002865131
1250	-2395.4434415686533	-2387.5535128249026	-7.889928743750704	0.8212142255464472	6.333801490195334	0.025778354089450697
1300	-2394.3115721556005	-2388.2835375892682	-6.028034566332412	0.7240896317811858	5.438147506022407	0.030548911222655975
1350	-2394.315235915389	-2387.499875507285	-6.815360408103842	0.8403993675084314	5.309226166222121	0.02276869066636989
1400	-2395.0327166036036	-2388.28575914473	-6.7469574588735135	0.8013696933021505	6.002129068561299	0.018395542584012145
1450	-2392.005805063916	-2387.360912458382	-4.644892605534258	0.5771437743135526	5.009471526940042	0.024556504011726526
1500	-2391.8414284197297	-2389.284790179487	-2.5566382402425596	0.3257302339351546	5.6358083947605255	0.03971441509033647
1550	-2389.9532126079757	-2387.8072835143803	-2.145929093595467	0.2923878961859288	6.058250907494396	0.0331726255923676
1600	-2388.9100285448294	-2387.331803420051	-1.5782251247784984	0.2234385787217448	5.900612579135113	0.03501389539986912
1650	-2391.9952138615567	-2388.0673054397907	-3.9279084217659754	0.4751562946639266	5.359724221858406	0.03932988779054005
1700	-2389.8677320767224	-2387.9475810607764	-1.9201510159460602	0.2881732274256007	5.481982755874174	0.026942114429829033
1750	-2389.0480366569163	-2388.0057555123235	-1.04228114459303	0.1290815135767853	5.13291808122663	0.019017531158258383
1800	-2392.7115905497053	-2389.3231545999683	-3.388435949736925	0.20198150264649867	7.972055764151865	0.01389557327586753
1850	-2389.628465302859	-2388.235667502609	-1.3927978002497223	0.1869613951000526	6.622264597895967	0.024849310679936332
1900	-2389.737267028048	-2388.133911178486	-1.603355849562094	0.2437408159337033	6.27444478913088	0.02600568068307911
1950	-2389.116940634701	-2387.643168709375	-1.4737719253264157	0.2687372120221442	6.090137279369153	0.02065275222369508
2000	-2389.136718927791	-2387.5355988202264	-1.601120107564853	0.20086611507119942	6.8684368474351905	0.01976474278678525
2050	-2389.3443568015937	-2387.509084560238	-1.835272241355618	0.3053145517189695	6.175609488082791	0.02019942415431115
2100	-2388.017223729746	-2387.7796080649273	-0.23761566481873597	0.18559238254569024	6.1772963577282844	0.011237784338654572
2150	-2389.003667433016	-2388.948977877621	-0.0546895553946829	0.17881554382914602	6.094699707241522	0.010055145204555554
2200	-2388.3479465027876	-2388.323216597898	-0.024729904889731813	0.2357045956916973	6.026666680865784	0.006507614033583582
2250	-2387.1388840624636	-2387.485922629478	0.3470385670143443	0.12355791991468698	5.419591508725469	0.007206269492020625
2300	-2392.026329227329	-2388.8042373389753	-3.222091888353635	0.38644817309019514	4.464835197325947	0.007595579741583332
2350	-2387.091108948284	-2387.562569664421	0.47146071613734897	0.30280210673058644	5.9855226085134055	0.0022893855402419416
2400	-2387.8278043036894	-2388.0694096495704	0.24160534588118132	0.3190707076047494	6.990994185074122	7.68179112615491E-4
2450	-2388.9749390061415	-2389.3722723250553	0.3973333189136756	0.4034451046977485	5.657277266312032	0.0010740543260998503
2500	-2386.01694110317	-2387.769753260496	1.75281215732584	0.15015394232048626	4.8435479239946035	5.869476943569055E-4
2550	-2385.463736857669	-2387.89709916426	2.4333623065910466	0.18108728023257623	6.181970694475305	8.014882243445994E-4
2600	-2384.7204009745487	-2388.1656009485505	3.4451999740016896	0.09191131396995117	5.639079136986421	4.1856661988040573E-4
2650	-2384.5665592155246	-2387.9353125468056	3.3687533312809066	0.12057756911386709	6.553286133102277	3.559373893072309E-4
2700	-2386.5587468378994	-2389.6585011631096	3.0997543252100783	0.06176370192408094	5.309266840957774	3.9332399205321947E-4
2750	-2386.0460218271046	-2387.878756852777	1.8327350256724735	0.11440493789839269	7.674436684900065	3.269116540085147E-4
2800	-2386.368831421783	-2388.4213898444273	2.052558422644494	0.1492765511228261	7.373993973881656	3.553223573284283E-4
2850	-2390.1008648245497	-2391.9826427425946	1.8817779180450431	0.06374438286483075	7.072118423251437	0.001024126385693604
2900	-2386.919629404565	-2388.7046700805013	1.785040675936214	0.180164094126549	6.209041298013178	0.0015149103042612004
2950	-2386.20225518521	-2388.844096543965	2.6418413587547622	0.14936939051999043	6.718065254249859	5.209510025604388E-4
3000	-2389.7506871073847	-2389.0804418026605	-0.6702453047242365	0.17049063077910126	8.45976524019945	3.8272689092078914E-4
3050	-2384.000002834497	-2387.524905771328	3.524902936831255	0.22128032455621469	6.071681939988821	2.0808488213970838E-4
3100	-2386.6107508979803	-2388.038967692566	1.4282167945859277	0.428432585458756	5.697573820803876	2.958686009979599E-4
3150	-2384.934860057016	-2387.722016549223	2.78715649220712	0.25306540849630127	5.082064872854651	2.0376906410862682E-4
3200	-2383.850834336251	-2387.486139165154	3.6353048289031165	0.19635440525537262	5.3744164147713915	1.822293938339203E-4
3250	-2384.0220569211892	-2387.3995970039564	3.37754008276708	0.16396412122474519	5.373361531675978	2.8104543523234783E-4
3300	-2384.1157487274077	-2387.485241648406	3.3694929209980327	0.17290404667794235	5.265781599427725	2.382950856370648E-4
3350	-2385.290256269142	-2388.1305447597106	2.840288490568671	0.1177637674848227	6.811176477087355	4.684780538184175E-4
